beta,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.4,10,3,6003,400,1121,1.3871091681191536,554.3306462820888,554.3306399850142,-0.08355431103744315,1385.157791791861,27.830265255597254,0.9980097525228006,-0.26881184761417415,-0.19810976772707584
0.4,12,3,6003,576,1633,1.3841512664935702,796.4600758258883,796.4599705048462,0.40959492100765227,1994.1819751366702,33.33206094637704,0.9978016367168528,-0.28203888657074894,-0.21218239845356213
0.0,4,4,6004,64,161,0.08721618518999116,0.09399305762322525,-0.031264304400928644,-0.08864106357489748,221.5032070633734,0.795676101083445,-0.4410912048407919,-0.4420182641183561,-0.33393897478700985
0.0,6,4,6004,144,385,0.08423960689193737,0.12402684127372327,0.07816040857833162,-0.09629957366055994,499.04642017513095,1.160460833915967,-0.43731588510099406,-0.43725951386865813,-0.33123613486885706
0.0,8,4,6004,256,705,0.08974627723897463,0.12998392665244746,-0.09639560891896792,0.0871992417921752,886.7422708991902,1.6160836430471694,-0.426090913446237,-0.4259146972112755,-0.33953326437985065
0.0,10,4,6004,400,1121,0.08884882328684833,0.045566672280232694,0.0180541167499908,0.041837429307640644,1385.828989750404,2.0031501409794883,-0.4242394308712678,-0.42423955335881064,-0.341900415766418
0.0,12,4,6004,576,1633,0.0886347458359307,0.17888998957007493,0.17362141841413603,0.04309560808533772,1996.277493750809,2.3899560773010267,-0.4227710370184263,-0.42277473647894714,-0.34379260239546106
0.1,4,4,6004,64,161,0.3523543431416616,22.07536377523459,22.07531075087985,-0.048384512273323466,221.5032070633734,2.8783163712518287,0.9485753139717223,-0.41141076998230675,-0.31186132899092983
0.1,6,4,6004,144,385,0.3539950881355788,49.975580217532965,49.975123571917365,-0.21364000248433998,499.04642017513095,4.329288049228921,0.9472043003991895,-0.40754403964472824,-0.3089820365594917
0.1,8,4,6004,256,705,0.35303382848716114,88.50751959268146,88.5075193554544,-0.006480181878515859,886.7422708991902,5.7685752942844415,0.945061371180737,-0.40899075878463476,-0.3237900714246507
0.1,10,4,6004,400,1121,0.3532900664183492,138.56983016476005,138.56982095692592,-0.05051589788723991,1385.828989750404,7.217351667409616,0.9478356755786171,-0.4119434862499447,-0.33005140398922705
0.1,12,4,6004,576,1633,0.3534517273806328,199.72446336803017,199.7244602212021,0.03545415474492908,1996.277493750809,8.66660254636428,0.9489652715544238,-0.4082718638849555,-0.32913462257846887
0.4,4,4,6004,64,161,1.38313507649733,88.39506555417746,88.39503591672216,0.07238514163138843,221.5032070633734,11.096923138166067,0.9970966541557961,-0.2229748794920315,-0.17212508278831834
0.4,6,4,6004,144,385,1.3882007974123285,199.6668143301295,199.66601306193448,-0.5656612889556859,499.04642017513095,16.702139313558117,0.9973057684310039,-0.2323660487585754,-0.17900744129379276
0.4,8,4,6004,256,705,1.385624172571363,354.31938090444885,354.3192642485745,-0.2875184528905796,886.7422708991902,22.232866892120196,0.9974316495787627,-0.2554228451489481,-0.19733098981044997
0.4,10,4,6004,400,1121,1.387023934697521,554.2252182846385,554.2251214774537,-0.32757587947187305,1385.828989750404,27.81964608990794,0.997667710207558,-0.25476023601230763,-0.19567370632191325
0.4,12,4,6004,576,1633,1.387477608855455,798.3769767278877,798.3769766295659,0.01252979472370297,1996.277493750809,33.397633774516464,0.9977280417067009,-0.24855578474825663,-0.18969597800191568
0.0,4,5,6005,64,161,0.08622946135314707,0.07380356009044851,-0.0733127987311919,0.008497000895856824,222.4444475535702,0.7806259100995047,-0.4017232830274097,-0.4019267740507859,-0.3173553188241011
0.0,6,5,6005,144,385,0.08138023891745194,0.15206656851443348,0.10319950664245336,-0.11168752431900851,498.4469183679686,1.0974031496066219,-0.40363015731330704,-0.4033967279684051,-0.331202980838382
0.0,8,5,6005,256,705,0.08147903870472119,0.09008749788546595,0.02910987229596884,-0.0852547512469318,886.7264612293491,1.4683658792835774,-0.40106293663851855,-0.4010846033463107,-0.32752543165022596
0.0,10,5,6005,400,1121,0.0859571835373042,0.09064347527027734,0.04955177788911058,0.07590033542153574,1385.8117765326638,1.9358600145616396,-0.4112518448243739,-0.41120645954659274,-0.3344819125849191
0.0,12,5,6005,576,1633,0.08933134991456122,0.05123401760710857,-0.0018315519499854105,0.05120126929696192,1996.8033342121705,2.4250011241846097,-0.41125349876128126,-0.411241342663619,-0.3397083951694744
0.1,4,5,6005,64,161,0.3534076342459952,22.22146968580043,22.221446886519086,-0.031831848181127054,222.4444475535702,2.8932639827554016,0.9553287875630655,-0.34801749679645233,-0.2855928038577706
0.1,6,5,6005,144,385,0.3510902264434191,49.850172270709194,49.8501290635828,-0.0656335548438753,498.4469183679686,4.306158743713232,0.9622063257238946,-0.3832191403535436,-0.31437399371743635
0.1,8,5,6005,256,705,0.3514168345493666,88.670155997462,88.67011102906109,-0.08930122185421868,886.7264612293491,5.746606516499377,0.9632862753639266,-0.3875586146348611,-0.3144998303670246
0.1,10,5,6005,400,1121,0.3521413183294766,138.6242009612232,138.62413676286263,0.13341247600025485,1385.8117765326638,7.210435142069081,0.9584761061728436,-0.39485334093422525,-0.3215433263033933
0.1,12,5,6005,576,1633,0.3526360955095358,199.71206286983792,199.7119187914911,-0.2398923653776151,1996.8033342121705,8.686022811493174,0.955286462271913,-0.3994443470312964,-0.3280257879408502
0.4,4,5,6005,64,161,1.3939465869574037,89.10585698572731,89.10572594226991,-0.15281839541208106,222.4444475535702,11.18730704672687,0.9975854358799903,-0.16587253267924018,-0.13565427447928236
0.4,6,5,6005,144,385,1.383822544033102,199.0909309453578,199.09091773440383,0.07252835358151044,498.4469183679686,16.656240814638174,0.9980942878448523,-0.22791982003042618,-0.1789434347391856
0.4,8,5,6005,256,705,1.3863857335278875,354.59312900922924,354.5931144993565,-0.10144063367612569,886.7264612293491,22.248389175630084,0.9981771810346973,-0.24744027821368647,-0.19018186814571844
0.4,10,5,6005,400,1121,1.3871645579558214,554.3479761455608,554.3478917177833,0.30594889773639194,1385.8117765326638,27.829487797955903,0.9979842725923356,-0.2582571845574177,-0.20214146041962913
0.4,12,5,6005,576,1633,1.3882489226504386,798.8539454049709,798.8531698218143,-1.11317326940136,1996.8033342121705,33.43058858215997,0.9979032363483471,-0.26884669998886346,-0.20920660908188518
0.0,4,6,6006,64,161,0.08800050748961413,0.08673548820052515,0.04013424657322506,0.07689139851363747,220.78493599105008,0.7761748138344684,-0.429120010132803,-0.4278095019522902,-0.34017828012514134
0.0,6,6,6006,144,385,0.08343191540984285,0.20420877613332622,-0.17789727865888327,-0.100268551877618,498.87948380891896,1.1282508344290485,-0.4340888899413814,-0.4350883562768537,-0.3384258323482898
0.0,8,6,6006,256,705,0.08841437917929354,0.10027418074170306,0.07483063080164909,-0.06674794391774941,885.8690541628742,1.588023685832912,-0.42503121284108797,-0.42494892328592343,-0.3414644859994514
0.0,10,6,6006,400,1121,0.09053213490235358,0.05070542997438653,-0.017155576922396776,0.04771505851769589,1385.3100367278864,2.0270589089341406,-0.4247268814649274,-0.42472829565438214,-0.3485213408371089
0.0,12,6,6006,576,1633,0.08870648643201601,0.04084435442248342,0.038476368054998655,0.013705122746101916,1995.3209812051166,2.386135891100347,-0.42080436622977174,-0.4207896231664344,-0.3445031867961747
0.1,4,6,6006,64,161,0.3512694563533534,22.276777105832206,22.275748564446147,0.21406568268969778,220.78493599105008,2.9042786102875415,0.9785977799497045,-0.4241136309475434,-0.3286413078814144
0.1,6,6,6006,144,385,0.34973374167333227,49.72380472361546,49.723445436518105,-0.18902410917694235,498.87948380891896,4.303325635571311,0.9678534002774632,-0.4270255181830008,-0.3311311825671617
0.1,8,6,6006,256,705,0.35199986129198657,88.70062254656848,88.70055369663426,0.11051723537934605,885.8690541628742,5.7758153367432605,0.959466326200197,-0.4121619763824506,-0.33002469190248207
0.1,10,6,6006,400,1121,0.3525705393428273,138.6798668056649,138.67982724516037,0.10474965122986843,1385.3100367278864,7.234886505880827,0.9554205090234825,-0.4143933119235905,-0.3365588719422956
0.1,12,6,6006,576,1633,0.3521464932752183,199.46872622955232,199.46855955029207,0.2578654138885325,1995.3209812051166,8.657321134850859,0.9556006380558556,-0.4091665388105092,-0.3325116420524075
0.4,4,6,6006,64,161,1.3915101014009197,88.98479057842528,88.98259151806496,0.6255885352178706,220.78493599105008,11.175225860212997,0.9986060782366566,-0.2934525868749459,-0.2236093056947435
0.4,6,6,6006,144,385,1.3860132648154524,199.42799329335443,199.4274735820491,-0.4552907810749358,498.87948380891896,16.685378280177986,0.9984587247047342,-0.29198451978294143,-0.2130782279291894
0.4,8,6,6006,256,705,1.3862636812166675,354.57830466412724,354.5777228941321,0.6423127732706125,885.8690541628742,22.255786801980502,0.998254197217921,-0.25434733616738886,-0.19187938482551864
0.4,10,6,6006,400,1121,1.3881756792254654,554.7708442938873,554.7707757114086,0.2758534293663711,1385.3100367278864,27.85886675457338,0.9980985199247124,-0.27593952106111835,-0.20710847336265248
0.4,12,6,6006,576,1633,1.3862584672719673,797.759423809984,797.7588090970032,0.9903462873158071,1995.3209812051166,33.37649641166596,0.9980906084764302,-0.270445720369981,-0.20450986270554455
0.0,4,7,6007,64,161,0.09218484127786264,0.1492638362263339,0.01734187943864729,0.14825300004565592,222.10406435104466,0.8312636627361516,-0.4306123702666951,-0.43089320055446645,-0.34695546592104254
0.0,6,7,6007,144,385,0.08544750954898206,0.08838916450697742,0.046306048461418836,0.07528873938465332,498.4972971519271,1.1523319261448943,-0.40589924907320146,-0.4059104362237788,-0.32552588308293795
