realization,shape,parameter,cells,area,perimeter,boundary_edges,W_real,W_imag,boundary_W_real,boundary_W_imag,identity_error,normalized_gap,deterministic_bound
3,radial,7.615773105863909,55,190.56173693007653,63.027870924849914,54,-0.034187812486697666,-0.06273926575247979,-0.03418781248670743,-0.06273926575247385,1.1427886388355867e-14,0.00018747057448767327,0.004524947748683242
3,radial,10.488088481701515,97,335.77911013824854,90.42849239295293,78,-0.18213485080629788,-0.04576029704034963,-0.18213485080631037,-0.04576029704034219,1.4537246039935955e-14,0.0002796412652709196,0.0036949501677662044
3,radial,15.748015748023622,223,772.8102937778557,131.6697951112954,114,0.032569167362404894,0.19742969681546252,0.0325691673623981,0.19742969681545752,8.432514905113998e-15,0.00012946130970771568,0.002649383770463162
3,radial,20.97617696340303,397,1375.0086293855331,172.68206629277432,150,-0.1910603853518995,-0.09245999646026945,-0.19106038535196246,-0.09245999646031408,7.716593132719077e-14,7.718378308221616e-05,0.0015757836213394435
4,rhombus,2,4,13.832894188079761,15.994721406113129,14,0.04008080718879148,0.07434304388078561,0.04008080718879345,0.0743430438807849,2.093890999645765e-15,0.00305283968448503,0.013686838060361887
4,rhombus,4,16,55.913309076741925,34.87838337424556,30,0.022618438579686373,-0.08571857981616851,0.02261843857969357,-0.085718579816168,7.213930535327502e-15,0.0007927675718652004,0.008311478156690167
4,rhombus,7,49,170.29223327731862,62.46324485318202,54,0.16695295990497083,0.05182361029736873,0.1669529599049754,0.0518236102973704,4.8730602514533535e-15,0.0005132684529230438,0.005281151955328794
4,rhombus,10,100,346.8131492522609,90.66208788031581,78,0.04626656816559116,-0.047318045845160944,0.046266568165608216,-0.04731804584516128,1.7059052983029767e-14,9.540943309072304e-05,0.0038418727428576865
4,rhombus,15,225,780.1951641747734,136.4947240984223,118,0.09502855114211917,0.03502747432764153,0.09502855114213049,0.03502747432764882,1.3469365407007594e-14,6.490592248374186e-05,0.0021166675867514777
4,rhombus,20,400,1386.389233091088,182.534611897291,158,0.0529877022298928,-0.02866901745656808,0.05298770222990826,-0.02866901745658245,2.1107272398194717e-14,2.1727750115178312e-05,0.0016374472770854809
4,radial,2.8284271247461903,7,24.441010366549424,21.009096441662503,18,0.041361947308590885,0.012560226266136648,0.0413619473085924,0.012560226266137071,1.5707822891804891e-15,0.0008843120266695315,0.0074761073171793835
4,radial,4.69041575982343,19,66.16801530291461,34.97185766329684,30,-0.10214037199477488,0.011999054945651288,-0.10214037199476698,0.011999054945650858,7.908171870927643e-15,0.0007771334663193023,0.007764528985952195
4,radial,7.615773105863909,55,190.82389934920892,62.72039331198576,54,-0.11368379895584502,0.22120757997146082,-0.11368379895583725,0.2212075799714645,8.603735989120659e-15,0.0006516748510464634,0.004839608822755416
4,radial,10.488088481701515,97,336.51159864592717,90.417810724575,78,0.3540730874200184,0.23996126552479857,0.35407308742001875,0.2399612655248081,9.52598689772783e-15,0.0006355287130700091,0.0038276004600789376
4,radial,15.748015748023622,223,772.9722605819637,131.94771621973075,114,-0.2723374103289782,0.23645558203834785,-0.2723374103289511,0.236455582038351,2.72704003796387e-14,0.00023329720491533276,0.0021089117577231926
4,radial,20.97617696340303,397,1375.717312512807,173.32450420481703,150,-0.14664278428111732,0.2155757769328606,-0.14664278428111713,0.21557577693278457,7.602276988082871e-14,9.475930534279e-05,0.0015526549380537884
5,rhombus,2,4,13.870692564628834,16.185738225450496,14,-0.0864176178764069,-0.07799047154032634,-0.08641761787640906,-0.07799047154032787,2.649022148901238e-15,0.004196138481361183,0.016719593111348952
5,rhombus,4,16,55.34683270941112,34.592345195278035,30,0.037841182118640404,0.0467334088211113,0.03784118211864058,0.04673340882111309,1.7986196584703085e-15,0.0005432371154265998,0.006661027542964388
5,rhombus,7,49,170.01655911224273,62.32926285854927,54,0.12086866829620346,0.02771198397915567,0.1208686682962105,0.02771198397917352,1.9186954156164262e-14,0.00036468446084814946,0.004549824060537639
5,rhombus,10,100,346.59626578197054,90.42389967596985,78,0.08620531399594,-0.048724916604778984,0.08620531399595198,-0.04872491660475789,2.425704322926355e-14,0.00014285005557935335,0.0036095384337304463
5,rhombus,15,225,780.1875128463457,136.0004021631535,118,-0.04722758555783724,-0.062332235792460854,-0.047227585557815005,-0.0623322357924572,2.2530947521967112e-14,5.011825697017398e-05,0.002468282255224434
5,rhombus,20,400,1385.699287903737,182.78364215585685,158,-0.1593989110882581,0.07427046362465903,-0.15939891108817653,0.07427046362471468,9.874802691668883e-14,6.345263294836497e-05,0.0015871610298422128
5,radial,2.8284271247461903,7,24.329887580723454,20.806251071150935,18,-0.07783720037770481,0.11265647669850093,-0.07783720037770671,0.1126564766985017,2.053959479439709e-15,0.002814050128246129,0.009421871727345215
5,radial,4.69041575982343,19,65.64231140241118,34.762633446138935,30,0.03531523711689655,0.09264189093600432,0.03531523711689856,0.09264189093600941,5.476260177897998e-15,0.0007551895298640877,0.005537983664833752
5,radial,7.615773105863909,55,190.7411574270902,62.46432505914433,54,-0.48355142311273447,0.035200929124609606,-0.48355142311272475,0.03520092912462355,1.699689108287002e-14,0.0012709133983858985,0.0037336757336223648
5,radial,10.488088481701515,97,335.64284166607456,90.91433270717009,78,0.18911966545893,0.09888020046638835,0.18911966545894465,0.09888020046640081,1.923733719966942e-14,0.00031791133756507603,0.0036701964781919315
5,radial,15.748015748023622,223,773.3349289903433,131.85151881152692,114,0.3330094173215601,0.05269009780829771,0.3330094173215768,0.052690097808314414,2.3624985473763022e-14,0.0002179858024956552,0.00232418816729098
5,radial,20.97617696340303,397,1374.8240943356614,173.72914144175942,150,-0.5692494418474268,-0.21876184306964055,-0.5692494418473711,-0.21876184306964422,5.5742704903473253e-14,0.0002217874330661517,0.001510489622764086
6,rhombus,2,4,13.748642057567631,16.048983229244758,14,-0.07930552111670552,-0.09496375246279318,-0.07930552111670232,-0.094963752462794,3.308681155670024e-15,0.0044994771304619026,0.012743923002616092
6,rhombus,4,16,55.42041228208645,34.73708223815216,30,0.07818007835009366,0.0314702777601405,0.07818007835009791,0.031470277760144716,5.986009672671219e-15,0.0007603367218111847,0.006477987923204393
6,rhombus,7,49,169.81442148244275,62.17959570045874,54,0.14833009003114617,-0.07143052105714123,0.14833009003115605,-0.07143052105712984,1.5081426906536927e-14,0.000484744856835011,0.004786078855599622
6,rhombus,10,100,345.73651863354206,90.15795905438586,78,-0.1444073001540782,0.09249062982692924,-0.144407300154081,0.09249062982692478,5.248685027462542e-15,0.00024800325643948673,0.003311307908983431
6,rhombus,15,225,779.3637144925206,135.92591866018984,118,0.013867566398888087,-0.10513066690427113,0.013867566398872691,-0.10513066690423394,4.025303223555331e-14,6.8030716263981e-05,0.0024989538526082964
6,rhombus,20,400,1385.8236330142777,182.1777126170487,158,-0.13703731839355004,0.043601251272103986,-0.13703731839358763,0.04360125127218656,9.072270255226419e-14,5.188483186106107e-05,0.0017309235046557344
6,radial,2.8284271247461903,7,24.246152808627972,20.714371403853445,18,0.10591604236452445,0.08343408755537177,0.10591604236452914,0.08343408755537482,5.596793277180403e-15,0.002780466046425809,0.00820857543923635
6,radial,4.69041575982343,19,65.6236130976122,34.69789403798789,30,-0.036178312001600155,-0.005969917395173968,-0.0361783120015913,-0.005969917395168223,1.055478525139831e-14,0.0002793778125224812,0.0047946695895035646
6,radial,7.615773105863909,55,190.76265970941628,62.46220037131303,54,-0.09788764999225608,0.1758859583160734,-0.09788764999224295,0.1758859583160855,1.7854948437181753e-14,0.0005275940605045253,0.004982794552463302
6,radial,10.488088481701515,97,335.82712842608134,89.73177365465432,78,0.21791280808047375,0.0806905487681456,0.21791280808046368,0.08069054876816127,1.8627884264219425e-14,0.00034597034102781273,0.0036863276728249504
6,radial,15.748015748023622,223,771.3721135512503,131.37236012948546,114,0.5109031821185885,-0.13762587533405987,0.5109031821185699,-0.13762587533403714,2.940447478485744e-14,0.00034297016721391606,0.002561072633854365
6,radial,20.97617696340303,397,1376.4482036295062,173.95433010532616,150,-0.0184123903017408,0.31258013098616433,-0.018412390301812045,0.3125801309861864,7.459211292222257e-14,0.00011374272831679741,0.0015824734884060142
7,rhombus,2,4,13.72451410397671,16.243751571552536,14,-0.057460862735460694,-0.08208932917626525,-0.05746086273546066,-0.08208932917626552,2.6595070446912006e-16,0.003650469484704326,0.02009427886298044
7,rhombus,4,16,55.167105482927525,34.38088529397086,30,-0.07556035955867557,-0.05641920788261577,-0.0755603595586728,-0.05641920788261456,3.029564307160424e-15,0.0008546762191495191,0.00963509117577705
7,rhombus,7,49,170.01730824481973,62.158855177506915,54,-0.049004025657518824,0.05829715342749303,-0.04900402565751802,0.058297153427482526,1.0536275703653923e-14,0.0002239696088426851,0.005054345673546987
7,rhombus,10,100,347.0935130910402,90.10771215638805,78,-0.07745110401742394,-0.0759474500394651,-0.07745110401741712,-0.0759474500394725,1.0066448321176528e-14,0.00015626101422701555,0.003875469954286638
7,rhombus,15,225,779.0252389641462,136.49600796351845,118,0.10877545133771971,-0.033279427083641816,0.10877545133771986,-0.03327942708367744,3.562460837796477e-14,7.300947440014453e-05,0.002012867972643389
7,rhombus,20,400,1384.8817948959982,182.17833445858872,158,0.12000587311359956,0.07899980283024276,0.1200058731136009,0.07899980283011128,1.3148505279761265e-13,5.187249838828338e-05,0.001680265143994082
7,radial,2.8284271247461903,7,23.95214213256021,20.610009758807678,18,0.08576728246127541,-0.04565135345730724,0.08576728246127367,-0.04565135345730733,1.7370672388022555e-15,0.0020282118522610367,0.016180218229629856
7,radial,4.69041575982343,19,65.52054595314047,34.587504653029036,30,0.09449289368095881,0.016064943775414897,0.09449289368095946,0.01606494377541605,1.3237110951425568e-15,0.0007314406687519042,0.00841923502237037
7,radial,7.615773105863909,55,191.04376830186365,62.80251065326672,54,0.3663028318980053,0.08256950181980742,0.366302831898008,0.08256950181979614,1.1605888652555939e-14,0.0009827424926136998,0.004190965434810278
7,radial,10.488088481701515,97,336.4608323524569,89.90957220719248,78,-0.20757254144979287,0.1425206448137426,-0.2075725414497907,0.14252064481373652,6.452499789830548e-15,0.0003741751665993655,0.003416999123512083
7,radial,15.748015748023622,223,772.7720319036902,131.77036427732043,114,0.024434110993315272,-0.3245855576197878,0.024434110993311227,-0.3245855576198332,4.5587965265459695e-14,0.00021060799235899017,0.0022198498204832368
7,radial,20.97617696340303,397,1375.6600457693721,173.3513797849626,150,0.21093018390633222,-0.09020422058983406,0.2109301839063044,-0.09020422058990053,7.205782033100462e-14,8.33813135136487e-05,0.0015118021842842155
8,rhombus,2,4,13.897131177060306,16.18014405044746,14,0.06366589254511323,-0.01524319597215043,0.06366589254511262,-0.015243195972149792,8.833950494912839e-16,0.002355351762127413,0.016519637410353196
8,rhombus,4,16,55.831997749879335,34.807359666715456,30,-0.06472039707439547,0.08224436498340393,-0.06472039707439772,0.08224436498340298,2.4382289786512095e-15,0.0009372397752826499,0.007669068801968432
8,rhombus,7,49,169.80970288678625,62.24906323078156,54,-0.04649730985131084,0.04689250545531862,-0.04649730985131646,0.04689250545531499,6.6902920868052574e-15,0.00019444461015308615,0.0047245013238203255
8,rhombus,10,100,346.3259028083238,90.35616017936623,78,0.061447236336812594,0.07093209080567342,0.061447236336812205,0.07093209080568408,1.0665222138308497e-14,0.00013548839361522612,0.0033579962923816573
8,rhombus,15,225,779.7870414485188,136.32527230351778,118,-0.04034625566590311,0.10879901948799704,-0.040346255665895,0.10879901948800749,1.3224483260037026e-14,7.440428150048899e-05,0.002263235417262793
8,rhombus,20,400,1385.8909299441225,182.68932654471126,158,-0.06271449508339222,0.05118865263222584,-0.0627144950833481,0.05118865263222913,4.423991923608294e-14,2.9206117497247542e-05,0.001707262389465212
8,radial,2.8284271247461903,7,24.48459307459344,21.042082481044215,18,-0.11678537799097644,0.024572102149360703,-0.11678537799097818,0.024572102149360023,1.876172209408441e-15,0.002437092124890087,0.010495561954263872
8,radial,4.69041575982343,19,66.39926288389542,34.75170009936541,30,0.1822304598080433,-0.17347195416076056,0.18223045980804037,-0.17347195416076117,3.004789440091828e-15,0.0018945679099396397,0.006388526404053072
8,radial,7.615773105863909,55,190.68600548304153,62.223834017754854,54,-0.08457510312165217,-0.1660474062928885,-0.08457510312165877,-0.1660474062928906,6.921232759685899e-15,0.0004886190183275548,0.00399529324959144
8,radial,10.488088481701515,97,335.2992336968333,89.64047746628765,78,-0.13628019604855135,-0.3015166991565219,-0.1362801960485579,-0.30151669915651863,7.323475752079456e-15,0.0004934168594100209,0.0037000489971622534
8,radial,15.748015748023622,223,773.0434412621458,132.16463991269993,114,-0.04813827992164876,-0.6293801638612779,-0.04813827992162985,-0.6293801638612545,3.010908480561047e-14,0.00040826839677206024,0.00231547118782962
8,radial,20.97617696340303,397,1376.6818799154703,173.8172901114842,150,-0.5629452217799038,-0.19110631538956319,-0.5629452217798177,-0.1911063153895659,8.619623489282382e-14,0.00021591731262622267,0.0016193451885910825
9,rhombus,2,4,13.550925617114912,16.011138372920353,14,0.034481075270999195,-0.034188074318413315,0.0344810752710005,-0.034188074318414086,1.5149212091658233e-15,0.0017916437855338247,0.00900811944592332
