realization,shape,target_n,n,parameter,sum_W_real,sum_W_imag,total_area,delta_total,area_normalized_delta,orientation_null_squared,area_normalized_null_squared
8,disk,400,397,20.97617696340303,-0.5629452217799038,-0.19110631538956319,1376.6818799154703,0.594498903705129,0.00043183462525244533,3.627248037543403,1.9138595429939627e-06
9,rhombus,4,4,2.0,0.034481075270999195,-0.034188074318413315,13.550925617114912,0.04855686334027008,0.0035832875710676494,0.01344800311044821,7.323520104317024e-05
9,disk,4,7,2.8284271247461903,-0.2663239498226182,-0.011329942430314877,24.085068866540563,0.26656483985063506,0.011067638682194179,0.0477245049336031,8.227078611536491e-05
9,rhombus,16,16,4.0,0.05197115509933781,-0.11144811382397413,55.065600981345106,0.12297025265193579,0.00223315918577907,0.11145972828018319,3.675845194491378e-05
9,disk,16,19,4.69041575982343,0.1140291183734381,0.16587089294412305,65.6432007845187,0.2012853520828187,0.0030663549259817608,0.1734945962198686,4.0263029939587245e-05
9,rhombus,49,49,7.0,0.06572130915155094,-0.10259815545629285,169.53211359311672,0.1218428166927676,0.0007187005111326272,0.5006426363307145,1.7419026496264655e-05
9,disk,49,55,7.615773105863909,-0.1964414512454682,0.17457508911497555,190.391881594799,0.2628035492662291,0.001380329597380313,0.5589462113351003,1.541960202769305e-05
9,rhombus,100,100,10.0,-0.017109958059712493,-0.09071105801753132,346.39021961702224,0.09231059912851315,0.000266493087566312,1.0576855169486536,8.815060863817866e-06
9,disk,100,97,10.488088481701515,0.11198350901240328,-0.2976643847614157,335.96256667885143,0.3180320616637938,0.0009466294557982779,0.9901864008394073,8.772738347349945e-06
9,rhombus,225,225,15.0,0.0814924236697161,0.003511855371022665,779.0402924413479,0.08156805896741375,0.00010470326086959721,2.165189762592977,3.5675997477132525e-06
9,disk,225,223,15.748015748023622,-0.29682861530435556,0.4857347167687822,772.1754074855824,0.5692498941044699,0.0007372028279922896,2.2227019122603053,3.7277715648941304e-06
9,rhombus,400,400,20.0,0.04919762678222428,0.19714474558191042,1385.462437942478,0.20319069169516407,0.00014665911260424962,3.9566360010350117,2.0612780876463195e-06
9,disk,400,397,20.97617696340303,-0.021406760103416023,0.27981628988791274,1374.9960578501577,0.28063393498428096,0.00020409799241392695,4.1531613213464595,2.196726022255054e-06
10,rhombus,4,4,2.0,-0.011541859813406496,0.004910109736138479,13.929334603518566,0.012542874693356772,0.0009004647422417742,0.008811823090750674,4.541559702175484e-05
10,disk,4,7,2.8284271247461903,-0.02045388315332719,0.03130394727611151,24.480671949415157,0.03739382905126902,0.0015274837687681345,0.013474427092073298,2.2483485594728915e-05
10,rhombus,16,16,4.0,-0.08575710997159947,-0.04596533930164273,55.75270644593048,0.097298994485021,0.001745188721544532,0.07141176405176863,2.2974065363602054e-05
10,disk,16,19,4.69041575982343,-0.07000261817620146,-0.09231586749894147,66.22516814183984,0.11585588437194361,0.0017494237858906693,0.06666993196757057,1.5201410003985765e-05
10,rhombus,49,49,7.0,0.07287360109027752,-0.06600052937237935,169.5669402614939,0.09831902976178725,0.0005798242842040243,0.25932667389858355,9.019133650104953e-06
10,disk,49,55,7.615773105863909,-0.28418491383959843,-0.11017580262583267,190.11603498330106,0.3047946402715547,0.001603203224274725,0.2637728262791912,7.297810070309025e-06
10,rhombus,100,100,10.0,0.09258651402999574,0.06295324945106688,346.0613450720631,0.11196148532720906,0.00032353074656140643,0.6860191571936796,5.728356797470084e-06
10,disk,100,97,10.488088481701515,0.1420475552305982,-0.11578095107527285,335.3880415688982,0.183255931906404,0.0005463997197072336,0.6239766941773788,5.547192303808103e-06
10,rhombus,225,225,15.0,-0.11086891998754522,0.0675815531491614,778.694317346237,0.12984291950375126,0.0001667444035629429,1.9044349669299883,3.1407410880662137e-06
10,disk,225,223,15.748015748023622,0.10369300145773064,0.1254710449136736,772.2548861716477,0.16277352875403922,0.00021077694899538626,1.8984223460917924,3.183255569550161e-06
10,rhombus,400,400,20.0,-0.16376584154239948,0.012131107612102995,1385.5895304598575,0.16421453841845648,0.00011851600694756694,3.6325485468412477,1.8920919622371882e-06
10,disk,400,397,20.97617696340303,0.05403284298934441,-0.09983357848152585,1374.7704101720392,0.11351780262997574,8.257218935616318e-05,3.5692451273097854,1.8884957996351221e-06
11,rhombus,4,4,2.0,0.0914724179700559,0.01983880924594683,13.712918393474029,0.09359904701216605,0.006825611027971245,0.05317853697892299,0.0002827981747369493
11,disk,4,7,2.8284271247461903,-0.03345880897607678,0.1417906794700781,24.22108435831113,0.14568489517683025,0.00601479657234423,0.057937228119536034,9.87576049544977e-05
11,rhombus,16,16,4.0,-0.052305868014887125,-0.01594158831155032,55.52460856027925,0.054681240537187425,0.000984810914566354,0.11670617051946919,3.785496140513218e-05
11,disk,16,19,4.69041575982343,0.12292937054587494,-0.10008442855278674,65.77761524661253,0.1585197873501693,0.002409935154320343,0.19106158659284972,4.415878661987036e-05
11,rhombus,49,49,7.0,0.05462761718479259,-0.05385338782857807,169.57425985455424,0.07670960787217913,0.00045236587167164305,0.47584096789350794,1.654786502675411e-05
11,disk,49,55,7.615773105863909,-0.18235085310296562,-0.06407890605687731,190.35981144205456,0.19328202148369997,0.0010153509820140525,0.4868804749053792,1.3436056664403341e-05
11,rhombus,100,100,10.0,-0.07734802848917255,0.0065397948045768095,346.5702358724147,0.07762400677140943,0.00022397770707576197,1.0505833420411006,8.746775635657245e-06
11,disk,100,97,10.488088481701515,-0.1633147581275014,0.017501338591967758,336.3520475675222,0.1642498312777063,0.0004883271336254712,0.9865908814525888,8.720651785908687e-06
11,rhombus,225,225,15.0,0.15847523353640502,0.0020089371336246553,780.2450836954515,0.1584879663344349,0.0002031258762744048,2.534139768247467,4.1626364481751315e-06
11,disk,225,223,15.748015748023622,-0.042789584058796404,0.28615697331005263,773.0809567730131,0.28933849014241947,0.00037426674089887475,2.3247367584162677,3.889769187161749e-06
11,rhombus,400,400,20.0,-0.038236039780479736,0.014568153573211173,1385.7149382122984,0.04091730485536767,2.9527938053518286e-05,4.343637114300335,2.2620684255556117e-06
11,disk,400,397,20.97617696340303,-0.1765251133609227,-0.027775222891872342,1374.9672566959957,0.17869689044239073,0.00012996446975166077,4.018704388810152,2.125696948347765e-06
12,rhombus,4,4,2.0,0.004714729450040256,0.01992483400184375,13.536119330820746,0.02047505027559409,0.0015126233579349372,0.014181759241525553,7.740014237822378e-05
12,disk,4,7,2.8284271247461903,-0.02517634045317374,-0.03586901819495811,23.9489377965392,0.04382276331867205,0.0018298416276735564,0.028114496958607155,4.9018250320756796e-05
12,rhombus,16,16,4.0,-0.0737123390380523,0.05184463535119532,55.14819126516073,0.09011867254436885,0.0016341183722792436,0.09128836204964183,3.0016003579719158e-05
12,disk,16,19,4.69041575982343,-0.051324449573279196,0.09586295143186704,65.75760688317257,0.10873777899712951,0.0016536152112457062,0.13316365275939637,3.0795956714410736e-05
12,rhombus,49,49,7.0,-0.019657908744691976,-0.04935883024756155,170.1299768216269,0.05312934687742956,0.00031228680488878876,0.39178960872637386,1.3536027484668005e-05
