n,eccentricity,gap,trace,normalized_gap
4,0.8863308270676692,1.1981574864588371,1.8522102040083526,0.6468798648587047
4,0.8888345864661654,1.1967625278413045,1.8329127765456632,0.6529293391127658
4,0.8913383458646617,1.1950745013604174,1.8133546953257602,0.6590406744146259
4,0.8938421052631579,1.1930809046495685,1.7935274332274969,0.665214750856969
4,0.8963458646616542,1.190768548790005,1.7734219617629703,0.6714524656084976
4,0.8988496240601505,1.1881235049248975,1.7530287086156973,0.6777547333284206
4,0.9013533834586467,1.1851310452537802,1.7323375104298806,0.6841224865930943
4,0.9038571428571429,1.1817755776485654,1.7113375601844183,0.6905566763352136
4,0.9063609022556391,1.1780405730062902,1.690017348371756,0.697058272296004
4,0.9088646616541354,1.1739084843027123,1.668364597065349,0.7036282634908555
4,0.9113684210526316,1.169360656128995,1.6463661857948042,0.7102676586888665
4,0.9138721804511278,1.164377223273676,1.6240080679479458,0.7169774869067939
4,0.9163759398496241,1.1589369966444725,1.6012751761753785,0.7237587979179043
4,0.9188796992481203,1.153017334497195,1.5781513149742463,0.730612662776263
4,0.9213834586466165,1.1465939965365115,1.5546190382593352,0.7375401743570063
4,0.9238872180451129,1.1396409779551853,1.5306595092723243,0.7445424479131683
