eta,realization,i,j,delta,W_real,W_imag,area
0.0,0,0,-2,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377544
0.0,0,0,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,0,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,0,1,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,0,2,4.440892098500626e-16,4.440892098500626e-16,0.0,3.464101615137755
0.0,0,0,3,0.0,0.0,0.0,3.4641016151377544
0.0,0,0,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,0,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,0,6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,0,7,3.3820826609804605e-15,3.1086244689504383e-15,-1.3322676295501878e-15,3.4641016151377526
0.0,0,0,8,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,0,9,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.464101615137751
0.0,0,1,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,1,-9,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.464101615137751
0.0,0,1,-8,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,1,-7,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,1,-6,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377553
0.0,0,1,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,1,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,1,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,1,-2,0.0,0.0,0.0,3.464101615137755
0.0,0,1,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,1,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,1,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,1,2,4.440892098500626e-16,4.440892098500626e-16,0.0,3.464101615137755
0.0,0,1,3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,1,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,1,5,1.3322676295501878e-15,-1.3322676295501878e-15,0.0,3.464101615137756
0.0,0,1,6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,1,7,2.220446049250313e-15,2.220446049250313e-15,0.0,3.4641016151377517
0.0,0,1,8,2.6645352591003757e-15,-2.6645352591003757e-15,0.0,3.464101615137757
0.0,0,1,9,2.220446049250313e-15,1.7763568394002505e-15,-1.3322676295501878e-15,3.464101615137751
0.0,0,2,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,2,-9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,2,-8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,2,-7,3.3820826609804605e-15,3.1086244689504383e-15,-1.3322676295501878e-15,3.4641016151377526
0.0,0,2,-6,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,2,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,2,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,2,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,2,-2,0.0,0.0,0.0,3.464101615137755
0.0,0,2,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,2,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,2,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,2,2,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.464101615137755
0.0,0,2,3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,2,4,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377526
0.0,0,2,5,1.3322676295501878e-15,-1.3322676295501878e-15,0.0,3.464101615137756
0.0,0,2,6,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,2,7,4.636427468134552e-15,4.440892098500626e-15,1.3322676295501878e-15,3.4641016151377526
0.0,0,2,8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,2,9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,3,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,3,-9,2.220446049250313e-15,2.220446049250313e-15,0.0,3.4641016151377517
0.0,0,3,-8,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,3,-7,4.0943002132167226e-15,3.1086244689504383e-15,2.6645352591003757e-15,3.4641016151377517
0.0,0,3,-6,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377553
0.0,0,3,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,3,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,3,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,3,-2,0.0,0.0,0.0,3.4641016151377544
0.0,0,3,-1,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,3,0,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,3,1,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,3,2,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377544
0.0,0,3,3,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,3,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,3,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,3,6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,3,7,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,3,8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,3,9,2.220446049250313e-15,2.220446049250313e-15,0.0,3.4641016151377517
0.0,0,4,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,4,-9,2.220446049250313e-15,1.7763568394002505e-15,-1.3322676295501878e-15,3.464101615137751
0.0,0,4,-8,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,4,-7,2.220446049250313e-15,1.7763568394002505e-15,-1.3322676295501878e-15,3.464101615137751
0.0,0,4,-6,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,4,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,4,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,4,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,4,-2,8.881784197001252e-16,8.881784197001252e-16,0.0,3.464101615137755
0.0,0,4,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,4,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,4,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,4,2,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377544
0.0,0,4,3,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,4,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,4,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,4,6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
