beta,condition,realization,min_area,min_turn,min_edge,relative_force_residual,crossings,tensor_check_error,boundary_virial_error,initial_energy,relaxed_energy,max_displacement
0.25,permuted,36,2.675294037703517,0.7993395383177586,0.9093605004029096,2.0176735503122327e-14,0,1.7763568394002505e-15,2.7284841053187847e-11,5423.696709245829,5415.86828572609,0.37473930514190196
0.25,permuted,37,2.61435006934586,0.7881506770010476,0.9186940492681944,2.174521164179666e-14,0,1.7763568394002505e-15,1.7257306694773433e-11,5423.696709245829,5416.280308756718,0.345085576125948
0.25,permuted,38,2.641977544266775,0.7693564648473163,0.9002158499484936,2.9624864948910426e-14,0,1.3322676295501878e-15,2.546585164964199e-11,5423.696709245828,5415.721334039462,0.4004745434517048
0.25,permuted,39,2.7584605930396062,0.7986593241840201,0.8939676353602393,2.1968711061780303e-14,0,1.3322676295501878e-15,2.7079227749027268e-11,5423.696709245829,5416.007110686924,0.4204741200707924
0.5,coherent,0,2.903920150460256,0.6664471687448968,0.9622438907917483,2.2050294896112483e-14,0,2.220446049250313e-15,3.728928277269006e-11,5440.525220498526,5408.544839846506,1.5054340099560168
0.5,permuted,0,1.9726219780858365,0.5327455237872216,0.702920790472873,2.6602133625207513e-14,0,1.3322676295501878e-15,6.912159733474255e-11,5440.525220498526,5411.4886892642335,0.8558458914072762
0.5,permuted,1,2.10045061105205,0.5531543214658547,0.6492182215529984,2.0205916923476077e-14,0,1.3322676295501878e-15,1.7476797786741827e-11,5440.525220498526,5410.101435765414,1.0984131636295191
0.5,permuted,2,2.178518759811833,0.4957947887932089,0.708204107056508,2.544343816972432e-14,0,1.7763568394002505e-15,2.091837814077735e-11,5440.525220498526,5408.332729066804,0.8027801906050869
0.5,permuted,3,1.9357078182959608,0.5032941626133355,0.7737534043351192,2.6071268122386893e-14,0,1.3322676295501878e-15,3.456079866737127e-11,5440.525220498526,5408.578166953061,0.8117246245212949
0.5,permuted,4,1.9653350886408103,0.5204397017432404,0.7548734391798012,1.9866864928788524e-14,0,1.3322676295501878e-15,1.6370904631912708e-11,5440.525220498526,5410.63497989761,0.7485987060522978
0.5,permuted,5,1.6976681108752079,0.4992384499518179,0.73216785094422,2.415029431081156e-14,0,1.7763568394002505e-15,9.57722789962645e-12,5440.525220498526,5409.900209334479,0.9054212302510241
0.5,permuted,6,2.129160844207766,0.5191978124704434,0.7199147435328325,2.371921030242092e-14,0,1.7763568394002505e-15,3.54702933691442e-11,5440.525220498526,5409.668098726344,0.7896473961773597
0.5,permuted,7,1.8186046354801686,0.5025457399684321,0.6700164928517827,2.133141971952685e-14,0,1.7763568394002505e-15,1.000444171950221e-11,5440.525220498526,5411.432420823861,0.7554442448720218
0.5,permuted,8,1.8356103812414308,0.5130158202947105,0.7086335163141921,1.9269837878688535e-14,0,1.7763568394002505e-15,1.2732925824820995e-11,5440.525220498526,5411.115522332506,0.8733577913113176
0.5,permuted,9,1.8662804790132963,0.50473912147414,0.7205406320077659,2.1353506920075713e-14,0,1.7763568394002505e-15,2.0733637029479723e-11,5440.525220498526,5409.319173154404,0.854669567393169
0.5,permuted,10,1.9567830288628847,0.5254936219036919,0.736413767979983,2.3700982063875802e-14,0,1.7763568394002505e-15,9.276845958083868e-11,5440.525220498526,5411.501012620707,0.8417635411763652
0.5,permuted,11,1.6837372590641593,0.5031964041268707,0.7408574554332923,2.561528197112904e-14,0,1.3322676295501878e-15,3.456079866737127e-11,5440.525220498526,5409.449178177042,0.8101416065856318
0.5,permuted,12,2.216540619631976,0.49991189311639583,0.6970426755343887,2.3807803605034825e-14,0,1.3322676295501878e-15,2.2737367544323206e-11,5440.525220498526,5410.733519618067,0.8068099469083901
0.5,permuted,13,2.1005273942271407,0.4601421616895698,0.7287129595763386,3.13587983167051e-14,0,1.3322676295501878e-15,2.1742940781166453e-11,5440.525220498526,5412.408319427339,0.6315314907311383
0.5,permuted,14,1.9755088285508542,0.48453658510198516,0.7365514748511526,2.4180081058672854e-14,0,1.7763568394002505e-15,1.0913936421275139e-11,5440.525220498526,5410.358434718775,0.7351792890130657
0.5,permuted,15,1.9759548283148933,0.49356141256346425,0.6896470439812411,1.7622447898436256e-14,0,1.3322676295501878e-15,2.3646862246096134e-11,5440.525220498526,5410.541569775021,0.8608501516235632
0.5,permuted,16,2.14794695122369,0.5469239147246078,0.7635336229645244,2.3488240205369935e-14,0,1.7763568394002505e-15,2.8194335754960775e-11,5440.525220498526,5410.2706651027365,0.9132805466234758
0.5,permuted,17,2.0984416289966252,0.49502002886946633,0.6698445424330542,2.883394655091184e-14,0,1.3322676295501878e-15,2.546585164964199e-11,5440.525220498526,5407.751390055042,0.8892991060077197
0.5,permuted,18,1.919093870815909,0.5098054423563765,0.7370791825076997,3.3227706528760607e-14,0,1.7763568394002505e-15,1.1758150009200108e-11,5440.525220498526,5410.930506782233,1.0878719881705916
0.5,permuted,19,1.8255073808793307,0.5023367165505668,0.743839361553008,1.8970023042116882e-14,0,1.3322676295501878e-15,5.184119800105691e-11,5440.525220498526,5408.711287744395,0.8186291560500744
0.5,permuted,20,2.3206786521725955,0.48193636064973744,0.7195108884549127,2.865835968346328e-14,0,1.7763568394002505e-15,2.8194335754960775e-11,5440.525220498526,5411.229219119066,0.7257399562781832
0.5,permuted,21,1.9583895948957644,0.45798743919405527,0.7047809550960136,2.8507379995047e-14,0,1.3322676295501878e-15,4.673594844462059e-12,5440.525220498526,5411.939415511768,0.9869762731115101
0.5,permuted,22,1.9462208233402407,0.5113209162207192,0.6599688467979529,2.023461375186675e-14,0,1.7763568394002505e-15,4.092726157978177e-11,5440.525220498526,5411.361251062051,0.7764953689125936
0.5,permuted,23,2.077327260739125,0.4632761229501172,0.6909130233436044,2.9831631893484536e-14,0,1.7763568394002505e-15,2.5851321083791845e-11,5440.525220498526,5409.244434646855,0.8758225146872834
0.5,permuted,24,2.2015765278806683,0.5272657677477296,0.727744230258921,2.8463867386963673e-14,0,1.7763568394002505e-15,3.2741809263825417e-11,5440.525220498526,5411.150028165707,0.8038953573952972
