eps,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,4,21,4021,64,161,0.09381887949454973,0.17423795819384894,-0.007133550844093062,-0.17409186806946553,220.98347075300458,0.8536077221304627,-0.4465494090704209,-0.44759573195001595,-0.3623561043119005
0.0,6,21,4021,144,385,0.09304240846250067,0.09023913311487658,0.07080449270974176,-0.05594483852367921,498.92237521804736,1.2650084953451535,-0.4248726155460367,-0.42476198073661187,-0.3475534306231106
0.0,8,21,4021,256,705,0.09368096655911295,0.1832957989171591,-0.04511404133081376,0.1776571787896038,887.4048330445034,1.684751282687093,-0.41612962320309066,-0.41615553128203003,-0.3410812874893174
0.0,10,21,4021,400,1121,0.09101724597566563,0.11206793257597356,0.060936121923358844,-0.09405323256961719,1384.8038275564202,2.040326428347741,-0.41679889023330785,-0.4168177092096153,-0.3429688701965601
0.0,12,21,4021,576,1633,0.09063449259449904,0.12624670145232125,0.06679852388121921,-0.1071269659557374,1996.8074801325947,2.437741482787523,-0.4136962848975019,-0.41371457217766233,-0.34037059107769263
0.0,4,22,4022,64,161,0.08023405565089578,0.018355474611547573,0.0130832594270478,0.012874461968553574,221.89704455246152,0.6959279699063592,-0.3774808772529579,-0.37739120139908156,-0.326768822969526
0.0,6,22,4022,144,385,0.08489172033207398,0.13180023888795203,-0.12306010194865236,-0.04719654944281959,499.18711167696324,1.110640712378515,-0.37167343537799574,-0.3717893894523525,-0.31923560782339416
0.0,8,22,4022,256,705,0.08581284076904216,0.05985880756190773,0.02706060929752674,-0.05339288592294025,887.2531789823818,1.5235813790123784,-0.39118079054585286,-0.39121828238677575,-0.3228375605846468
0.0,10,22,4022,400,1121,0.08662800692131842,0.23207838445095133,0.22662941167195516,0.04999486268195001,1385.273003171978,1.937355863426353,-0.4013319652220396,-0.4012942349608941,-0.3269802705652122
0.0,12,22,4022,576,1633,0.08644468869137246,0.18641109518723142,-0.05297626815381484,0.1787249602640833,1996.2324827940984,2.3318119389375496,-0.4054579679384739,-0.40536252032603787,-0.329323509869894
0.0,4,23,4023,64,161,0.0841411590726132,0.09551095659064994,0.05289029503208775,-0.07952961410870626,221.57437303851228,0.7532979495774446,-0.40040217984899873,-0.4007582642618859,-0.329409091175253
0.0,6,23,4023,144,385,0.08296737389938542,0.08641701863538394,0.08634167398313064,0.003607830874511178,499.27630648750613,1.1136852340794643,-0.40153420276348384,-0.40156260400144833,-0.3265785052708341
0.0,8,23,4023,256,705,0.08231565059930801,0.12142136489705144,-0.11947321557266743,-0.021663301091704654,886.5910731097481,1.4761062834149514,-0.3998647533676069,-0.3997827002603326,-0.3245830965768221
0.0,10,23,4023,400,1121,0.08097636267569955,0.04816124408407807,-0.04815026237625286,-0.001028428327183209,1384.1708933334535,1.8212055778026088,-0.41102174483765275,-0.4110129045204778,-0.32983990982532246
0.0,12,23,4023,576,1633,0.08126205551039284,0.17232451452354725,-0.019338454794258553,-0.17123598474604182,1995.9693478831357,2.1907112778248026,-0.39473853959155497,-0.3946732673632958,-0.3155294575386874
0.0,4,24,4024,64,161,0.09906476418291824,0.14491472816216744,-0.0971246729207631,-0.10755034332046398,221.68588392004233,0.8646558733891014,-0.43268419494464183,-0.4318480324207993,-0.37879648060016363
0.0,6,24,4024,144,385,0.09642860577887902,0.15674601439930994,-0.07088882596280754,0.13980016946943755,498.9182318974727,1.2961512685101986,-0.4290935663690075,-0.42881744559519197,-0.3596408292415373
0.0,8,24,4024,256,705,0.09504592635158363,0.06761710662914666,0.0656771699353329,-0.01608049931385197,886.3915405913174,1.7147463409209727,-0.42549068125446243,-0.4254510360651509,-0.347479917045564
0.0,10,24,4024,400,1121,0.09096413200336492,0.2616103894463672,-0.19833337120607109,-0.17059856310155352,1386.4141195074064,2.048176743418609,-0.4130476985549815,-0.4131936006829206,-0.3357235222304876
0.0,12,24,4024,576,1633,0.09346092426648583,0.05495104820901307,-0.04133405240363208,-0.03620930558797111,1995.183928950864,2.521395123601456,-0.4227505621873895,-0.4227728102436405,-0.3426378569599878
0.05,4,0,4000,64,161,0.09292174000259018,0.1260120771472369,-0.12330903306269647,-0.02596008382313149,221.53229234673898,0.8502579157944143,-0.4647753096134014,-0.4644264070949802,-0.34798002074275763
0.05,6,0,4000,144,385,0.08983718123115213,0.05013283322303728,-0.04926332654815724,0.009296538300813742,498.7607893185868,1.2260519225410504,-0.4587061686590712,-0.4585056247425729,-0.35402460264711544
0.05,8,0,4000,256,705,0.08541264391237882,0.14306694874894765,0.0015856049006419681,-0.1430581618833161,886.6353917821857,1.5786419436509667,-0.4376982607922651,-0.4374641338966915,-0.32998420864628314
0.05,10,0,4000,400,1121,0.08590102227035118,0.022364983177918726,0.013446475691155868,0.01787133917857702,1385.743766291481,1.9867198660268686,-0.44223881293472267,-0.442260661272251,-0.3373623513319734
0.05,12,0,4000,576,1633,0.08792124817722367,0.11532575888006598,0.03594615139554236,-0.10958058615061277,1995.1492228316015,2.430753054730148,-0.43194586479904723,-0.43190531609187194,-0.3349703644608466
0.05,4,1,4001,64,161,0.09141902569880633,0.11315046002139523,-0.09299097812397106,-0.06446475463848828,221.32114430013814,0.8224380457147917,-0.39554594719650654,-0.39549621086947834,-0.32014753672022317
0.05,6,1,4001,144,385,0.09460004902863416,0.04588527300672163,0.03298587489009508,-0.03189655681474681,499.21463644105984,1.271821470596183,-0.41322991474637455,-0.41319008420792985,-0.3384580323573194
0.05,8,1,4001,256,705,0.09395054984693504,0.06333237631030772,0.008471179286174024,-0.06276327756428852,887.3438919082874,1.6859786460700226,-0.41946384400935605,-0.41943793355157044,-0.3371156799515395
0.05,10,1,4001,400,1121,0.09245684559495543,0.04145679360460806,0.01931873549580132,-0.03668040614303961,1385.7528623259846,2.067621820440315,-0.41017443184715424,-0.41015283427358823,-0.3301133884654515
0.05,12,1,4001,576,1633,0.09139527963321223,0.17511963639154635,0.1405400872307574,0.10447665256447733,1995.081983730081,2.4717831858283983,-0.41632421064251396,-0.4162914888562603,-0.3345335124077068
0.05,4,2,4002,64,161,0.08701913707586738,0.05481099300114711,0.05436278545512785,-0.006995177719796505,221.59594015355538,0.7921612782004044,-0.404164869652884,-0.4034331968045145,-0.31341919320786193
0.05,6,2,4002,144,385,0.09065236137270088,0.3069809838066467,-0.29658728147630375,0.07920422264874799,498.3992413038939,1.2385558137240604,-0.3802836211101918,-0.3795203408301743,-0.3030697211577533
0.05,8,2,4002,256,705,0.09958347169893586,0.17760173894627282,-0.13430477355082182,0.11620931751887417,887.5674567452065,1.8353126986382493,-0.43175555262294985,-0.4316025132318083,-0.33606444570497235
