name,param,realization,seed,N,P,nb,sum_W_real,sum_W_imag,gap,area
label_disk,5.5,52,2052,88,80.87951668013775,32,-0.04887244699066917,0.04226893622898955,0.06461562539189847,305.44878520037133
label_disk,6.5,52,2052,124,99.89117756660207,40,0.05967199252825228,-0.18436667832139428,0.1937829166040089,429.8655580012282
label_disk,7.5,52,2052,172,112.64554884467948,46,0.29457795963720645,0.2022694830859642,0.35733614159763183,595.533252808116
label_disk,8.5,52,2052,216,127.54345058651846,52,0.0747487566490821,0.29691770566269443,0.30618213624668267,748.1494295093812
label_disk,9.5,52,2052,276,145.72533121529085,60,-0.19972203552845924,-0.24020284284415683,0.31238805544714066,956.4203885455025
label_disk,10.5,52,2052,332,159.0183992753889,66,0.31035086132514333,0.119085804446701,0.3324140279019167,1151.2204385485747
label_rotated_box,3.5,52,2052,48,62.4843552462304,24,0.01694483820842363,-0.11553713781270744,0.11677310373481646,166.41891976888508
label_rotated_box,4.5,52,2052,84,90.58475486423188,36,0.23632168450739321,0.23674510174040148,0.3345088664990585,291.322016408546
label_rotated_box,5.5,52,2052,124,108.14983702275907,44,0.021443344139958853,-0.030269047781482983,0.03709490883534299,429.2960219002713
label_rotated_box,6.5,52,2052,164,122.97539425479447,50,-0.07049614200974608,0.05340022320428088,0.08843805672065225,567.9224652830464
label_rotated_box,7.5,52,2052,224,150.03730219890218,62,0.2540651345872944,0.34769414464207354,0.43062781009967666,776.4163814207586
label_rotated_box,8.5,52,2052,288,168.90259756833427,70,-0.24616152895804388,0.0469588205879881,0.25060053705045554,998.3174763027612
label_rotated_box,9.5,52,2052,364,196.97951295417073,82,-0.25824842215359123,-0.28084780954944355,0.3815334057111382,1261.4149599635145
label_rotated_box,10.5,52,2052,444,210.96653933249402,88,0.317805828848861,0.0035318521546987836,0.31782545340163393,1538.4204054905276
label_box,3,53,2053,36,53.1685389486367,20,-0.018191621427914306,0.02525511795876997,0.03112484655846413,124.4302681814363
label_box,4,53,2053,64,71.49746116666513,28,-0.07412891234624075,0.026718195532731137,0.07879693914208787,221.4615032735679
label_box,5,53,2053,100,90.11425186313768,36,-0.08255612811470892,-0.12831744322250038,0.15258073444721598,346.36088303876284
label_box,6,53,2053,144,109.36218532533466,44,0.03760834903760957,0.0224737941389702,0.04381163475990687,498.96908554182204
label_box,7,53,2053,196,127.07986139385568,52,0.07340293128593744,0.19275847173261873,0.20626152997120628,678.7143877185844
label_box,8,53,2053,256,145.6667608428891,60,-0.043857721495828894,-0.06695430965510554,0.0800398607957151,886.2247584683513
label_box,9,53,2053,324,163.83629026562204,68,0.024539619015846448,0.09021684797323709,0.09349477290024863,1121.758409125745
label_box,10,53,2053,400,182.796641422455,76,-0.02396493417549861,-0.020588885837146992,0.03159462438534526,1386.3208594950397
label_disk,3.5,53,2053,32,48.534160728147356,18,-0.15801114645465386,-0.05290962346665677,0.1666341821454934,110.65532630100354
label_disk,4.5,53,2053,60,67.05152085691614,26,-0.06442474848362956,-0.05725925302010966,0.08619263468301608,207.82632952731558
label_disk,5.5,53,2053,88,80.88274624019287,32,0.12069793214705005,-0.07242870483535194,0.1407618844314768,304.7663398118105
label_disk,6.5,53,2053,124,99.30265200282925,40,-0.08215612911962067,0.10074633235652818,0.12999789627225442,429.5896757302249
label_disk,7.5,53,2053,172,112.84201944030579,46,0.18044897039132168,0.1106897400918639,0.21169329105309992,595.6453957141222
label_disk,8.5,53,2053,216,127.16896487853325,52,-0.05291038608668286,-0.069693161450028,0.08750226116359229,748.2872886120424
label_disk,9.5,53,2053,276,144.8342880288861,60,0.26333469305574164,0.31623710803882754,0.4115228657894027,956.0094401949588
label_disk,10.5,53,2053,332,160.09861301301135,66,0.3774038291296766,-0.1867702940590551,0.4210900058000048,1149.8111075304746
label_rotated_box,3.5,53,2053,48,62.06080127582142,24,0.27457531783755096,-0.02172192271601666,0.2754331989649627,165.63699603023966
label_rotated_box,4.5,53,2053,84,89.43260424751733,36,-0.04183983678442349,0.1516121122363532,0.15727938364234442,290.97101595093835
label_rotated_box,5.5,53,2053,124,108.16540172152266,44,-0.1111451673054975,-0.15684308618306914,0.19223163605087662,430.1288457583787
label_rotated_box,6.5,53,2053,164,121.52246778482738,50,0.33578930313642363,0.23915529473721972,0.41224957380413557,568.6371409237696
label_rotated_box,7.5,53,2053,224,149.57486903766954,62,-0.18520168459520692,-0.29067589434220503,0.34466235583327526,775.6802155208196
label_rotated_box,8.5,53,2053,288,168.49920632781786,70,-0.3049591292807472,0.2802587253769296,0.41417994118688645,996.5693138575671
label_rotated_box,9.5,53,2053,364,196.47291642283488,82,0.18458603292502174,-0.09085254814852049,0.20573329593450945,1260.8425853656593
label_rotated_box,10.5,53,2053,444,209.94632156449515,88,0.15535799292748775,-0.07904318691481027,0.17430987167715709,1538.5528624287251
label_box,3,54,2054,36,53.59265961797316,20,-0.01858727476951927,-0.0810003541380645,0.08310562047087712,124.69170468411033
label_box,4,54,2054,64,71.50710245055646,28,-0.01249907224486213,-0.043489161572513535,0.045249684874731126,221.25369426422895
label_box,5,54,2054,100,90.01350158117835,36,-0.00639488257441867,-0.06566833660319149,0.06597897358530719,346.4356694616849
label_box,6,54,2054,144,108.68417482699755,44,0.04559551380724258,0.03046867348743615,0.054838772264069184,499.0294661864785
label_box,7,54,2054,196,126.98773475015894,52,0.015653551351960004,-0.05136223543611823,0.05369462635053612,679.7685252891254
label_box,8,54,2054,256,145.88838197693389,60,-0.003502308937406884,-0.06721549055127984,0.06730667379942519,887.830650448914
label_box,9,54,2054,324,164.29137392854565,68,-0.096995082235384,0.047150053988496615,0.1078479187048459,1122.7366052044335
label_box,10,54,2054,400,182.34498592460295,76,-0.008855282006047904,0.0030605622841588936,0.00936926149180669,1385.8145515946267
label_disk,3.5,54,2054,32,48.82183677960216,18,-0.08343256341481764,0.04141894118980757,0.09314784660555661,111.07358122848186
label_disk,4.5,54,2054,60,66.78049124075477,26,0.051032424328973036,0.12465994063081479,0.13470118459379124,207.43717933336043
label_disk,5.5,54,2054,88,81.28480662241425,32,0.14048100802450447,0.0320930089241418,0.144100224973405,304.79420570854364
label_disk,6.5,54,2054,124,99.44193304149941,40,-0.16745505840504604,-0.03360096169910656,0.17079291909368552,429.77752494173785
label_disk,7.5,54,2054,172,112.80380725901486,46,0.20669558100145702,-0.08176013313622545,0.22227861475180916,596.6088485684763
label_disk,8.5,54,2054,216,127.058668124757,52,-0.09753769615482488,0.39364789786702314,0.40555180885593056,748.6932078351267
label_disk,9.5,54,2054,276,145.17963207940733,60,0.08890487862091678,-0.46781058145995563,0.47618359649246816,956.1499173554034
label_disk,10.5,54,2054,332,159.2855824862235,66,0.3218766151069663,0.1736892206597751,0.36574923202396226,1150.3681441454887
label_rotated_box,3.5,54,2054,48,62.16474977338797,24,0.13536645749411225,-0.4053263005658399,0.42733299398115154,165.8112344974669
label_rotated_box,4.5,54,2054,84,90.8889415990179,36,0.25643643190251497,0.44635260283950473,0.5147720754552386,291.1028080974958
label_rotated_box,5.5,54,2054,124,108.72194005672863,44,-0.01167277327534677,-0.6652031074737119,0.6653055146536968,429.5021125170597
label_rotated_box,6.5,54,2054,164,121.85581461628566,50,0.24154963881271874,0.10569293992182377,0.26366119464167104,568.3337175167752
label_rotated_box,7.5,54,2054,224,149.56306169000743,62,0.11571022634255801,-0.21273035239697763,0.24216329059374025,775.922992034061
label_rotated_box,8.5,54,2054,288,168.63169434084594,70,0.024606491965609933,0.43481591697617705,0.43551160845916304,997.6317510647226
label_rotated_box,9.5,54,2054,364,196.04596010268165,82,0.5085466511644063,0.34107952364565275,0.6123356415078889,1261.1401182207078
