epsilon,psi_rad,delta,leading,ratio,area
0.004375024444037806,0.5235987755982988,1.105110950247294e-05,1.1050968483305967e-05,1.0000127607971363,0.866019878300198
0.004942143349175973,0.0,1.4101653818099358e-05,1.4101653818162043e-05,0.9999999999955548,0.8660183529575296
0.004942143349175973,0.5235987755982988,1.4101883443477117e-05,1.4101653818162043e-05,1.0000162835734046,0.8660183529575316
0.005582775867021703,0.0,1.7994498917150992e-05,1.7994498917238324e-05,0.9999999999951467,0.86601640653498
0.005582775867021703,0.5235987755982988,1.7994872823145483e-05,1.7994498917238324e-05,1.0000207789007562,0.8660164065349838
0.006306451306515956,0.0,2.296198697382401e-05,2.296198697385801e-05,0.9999999999985193,0.8660139227909517
0.006306451306515956,0.5235987755982988,2.296259581706279e-05,2.296198697385801e-05,1.0000265152665346,0.8660139227909598
0.007123934227127409,0.0,2.9300779544216837e-05,2.930077954449338e-05,0.9999999999905619,0.8660107533946664
0.007123934227127409,0.5235987755982988,2.930177094624122e-05,2.930077954449338e-05,1.0000338353369178,0.866010753394683
0.008047384559998259,0.0,3.7389433366286084e-05,3.738943336621671e-05,1.0000000000018554,0.8660067090677555
0.008047384559998259,0.5235987755982988,3.7391047707000495e-05,3.738943336621671e-05,1.0000431763907192,0.8660067090677903
0.009090538485026379,0.0,4.7711008006490196e-05,4.771100800659365e-05,0.9999999999978316,0.8660015482804354
0.009090538485026379,0.5235987755982988,4.7713636714781704e-05,4.771100800659365e-05,1.000055096471399,0.8660015482805077
0.010268912754402238,0.0,6.088191448916369e-05,6.0881914489296296e-05,0.999999999997822,0.865994962827194
0.010268912754402238,0.5235987755982988,6.0886194962272095e-05,6.0881914489296296e-05,1.0000703077919233,0.8659949628273444
0.01160003550188137,0.0,7.768872775371083e-05,7.768872775376549e-05,0.9999999999992965,0.8659865594205615
0.01160003550188137,0.5235987755982988,7.769569793114207e-05,7.768872775376549e-05,1.0000897192884748,0.8659865594208743
0.01310370697104449,0.0,9.913516141257794e-05,9.913516141250481e-05,1.0000000000007376,0.8659758362037323
0.01310370697104449,0.5235987755982988,9.914651150437132e-05,9.913516141250481e-05,1.000114491081719,0.8659758362043819
0.014802294040837306,0.0,0.00012650201016828344,0.00012650201016848318,0.999999999998421,0.8659621527793545
0.014802294040837306,0.5235987755982988,0.00012652049261207865,0.00012650201016848318,1.0001461039517938,0.8659621527807047
0.016721062929411865,0.0,0.00016142363969184892,0.00016142363969206676,0.9999999999986505,0.8659446919645926
0.016721062929411865,0.5235987755982988,0.0001614537368223358,0.00016142363969206676,1.000186448095994,0.8659446919673982
0.018888555025186885,0.0,0.00020598559198170552,0.00020598559198173232,0.9999999999998699,0.8659224109884476
0.018888555025186885,0.5235987755982988,0.00020603460348736033,0.00020598559198173232,1.0002379365719538,0.8659224109942778
0.02133701143555604,0.0,0.00026284913526264386,0.0002628491352629936,0.9999999999986693,0.865893979216807
0.02133701143555604,0.5235987755982988,0.0002629289494800303,0.0002628491352629936,1.0003036502933778,0.8658939792289233
0.024102852568339557,0.0,0.0003354101966249745,0.0003354101966249686,1.0000000000000175,0.865857698686126
0.024102852568339557,0.5235987755982988,0.00033554017595625575,0.0003354101966249686,1.0003875234939041,0.8658576987113062
0.027227219879679177,0.0,0.0004280021689528901,0.0004280021689530706,0.9999999999995783,0.8658114026999622
0.027227219879679177,0.5235987755982988,0.0004282138507104281,0.0004280021689530706,1.0004945810388655,0.8658114027522958
0.030756587846791354,0.0,0.0005461547039170567,0.0005461547039172383,0.9999999999996675,0.8657523264324798
0.030756587846791354,0.5235987755982988,0.0005464994599182899,0.0005461547039172383,1.0006312423908077,0.8657523265412579
0.034743455268578825,0.0,0.0006969239462980559,0.0006969239462981143,0.9999999999999162,0.8656769418112896
0.034743455268578825,0.5235987755982988,0.0006974854657949977,0.0006969239462981143,1.0008057112972886,0.8656769420374097
0.03924712617708889,0.0,0.0008893139314558596,0.0008893139314558373,1.000000000000025,0.8655807468187107
0.03924712617708889,0.5235987755982988,0.0008902285695065886,0.0008893139314558373,1.0010284760177477,0.8655807472888103
0.044334591975754914,0.0,0.0011348143120667453,0.001134814312067176,0.9999999999996205,0.8654579966284052
0.044334591975754914,0.5235987755982988,0.0011363042693636482,0.001134814312067176,1.0013129525074091,0.8654579976058843
0.050081527926090476,0.0,0.0014480865275148247,0.0014480865275148923,0.9999999999999533,0.8653013605206812
0.050081527926090476,0.5235987755982988,0.001450513973932072,0.0014480865275148923,1.00167631310081,0.8653013625535546
0.05657341880541959,0.0,0.001847839394402917,0.0018478393944030588,0.9999999999999233,0.865101484087237
0.05657341880541959,0.5235987755982988,0.0018517947999348843,0.0018478393944030588,1.0021405569898585,0.865101488316087
0.06390683047962774,0.0,0.0023579464090223157,0.0023579464090226856,0.9999999999998431,0.8648464305799274
0.06390683047962774,0.5235987755982988,0.0023643927930837973,0.0023579464090226856,1.002733897613807,0.8648464393797426
0.07219084630537881,0.0,0.0030088714877837264,0.0030088714877837567,0.9999999999999899,0.8645209680405466
0.07219084630537881,0.5235987755982988,0.0030193801768502804,0.0030088714877837567,1.0034925682632807,0.864520986359602
0.08154868972805907,0.0,0.003839488291742077,0.0038394882917421537,0.99999999999998,0.8641056596385674
0.08154868972805907,0.5235987755982988,0.00385662463550657,0.0038394882917421537,1.0044631842741316,0.8641056977943702
0.09211955721133781,0.0,0.004899401786442881,0.0048994017864429674,0.9999999999999823,0.8635757028912171
0.09211955721133781,0.5235987755982988,0.004927357056041932,0.0048994017864429674,1.0057058536567298,0.8635757824173825
0.10406068876288892,0.0,0.006251910682115391,0.0062519106821156125,0.9999999999999646,0.8628994484433807
0.10406068876288892,0.5235987755982988,0.0062975390445582854,0.0062519106821156125,1.0072983068317336,0.8628996143384966
0.11754970685501805,0.0,0.007977787673039027,0.007977787673039256,0.9999999999999712,0.862036509947919
0.11754970685501805,0.5235987755982988,0.008052311658778103,0.007977787673039256,1.0093414350936787,0.8620368563952043
0.132787258531279,0.0,0.010180103234385673,0.010180103234385954,0.9999999999999724,0.8609353521672456
0.132787258531279,0.5235987755982988,0.010301926611676756,0.010180103234385954,1.0119668115819602,0.8609360766992122
0.15,0.0,0.012990381056766531,0.01299038105676658,0.9999999999999962,0.8595302132560555
0.15,0.5235987755982988,0.013189745236686864,0.01299038105676658,1.0153470617258327,0.8595317312574254
0.05,0.0,0.0014433756729739233,0.0014433756729740647,0.9999999999999021,0.8653037159479517
0.05,0.017453292519943295,0.0014433822841362198,0.0014433756729740647,1.0000045803475,0.8653037159534654
0.05,0.03490658503988659,0.0014434020450101279,0.0014433756729740647,1.0000182710825443,0.8653037159699469
0.05,0.05235987755982989,0.0014434347385570857,0.0014433756729740647,1.0000409218363084,0.865303715997215
0.05,0.06981317007977318,0.0014434800057161622,0.0014433756729740647,1.0000722838440823,0.8653037160349711
0.05,0.08726646259971647,0.0014435373493763026,0.0014433756729740647,1.0001120126972243,0.8653037160828019
0.05,0.10471975511965978,0.0014436061398716688,0.0014433756729740647,1.000159672150445,0.8653037161401829
0.05,0.12217304763960307,0.0014436856219419867,0.0014433756729740647,1.0002147389440779,0.8653037162064856
0.05,0.13962634015954636,0.0014437749230779735,0.0014433756729740647,1.000276608585959,0.8653037162809836
0.05,0.15707963267948966,0.0014438730631528916,0.0014433756729740647,1.0003446020243656,0.8653037163628604
0.05,0.17453292519943295,0.0014439789652364685,0.0014433756729740647,1.0004179731401186,0.8653037164512194
0.05,0.19198621771937624,0.0014440914674699321,0.0014433756729740647,1.000495916973848,0.8653037165450923
0.05,0.20943951023931956,0.0014442093358614182,0.0014433756729740647,1.0005775785909123,0.8653037166434505
0.05,0.22689280275926285,0.0014443312778686314,0.0014433756729740647,1.0006620624917404,0.8653037167452164
0.05,0.24434609527920614,0.0014444559566107542,0.0014433756729740647,1.0007484424581325,0.8653037168492755
0.05,0.2617993877991494,0.0014445820055510306,0.0014433756729740647,1.0008357717256522,0.865303716954487
0.05,0.2792526803190927,0.0014447080434939227,0.0014433756729740647,1.0009230933739603,0.8653037170596987
0.05,0.29670597283903605,0.0014448326897237127,0.0014433756729740647,1.0010094508151477,0.8653037171637574
0.05,0.3141592653589793,0.0014449545791258153,0.0014433756729740647,1.001093898270086,0.8653037172655235
0.05,0.33161255787892263,0.0014450723771173052,0.0014433756729740647,1.0011755111126022,0.8653037173638817
0.05,0.3490658503988659,0.0014451847942331042,0.0014433756729740647,1.0012533959750838,0.8653037174577546
0.05,0.3665191429188092,0.0014452906002018421,0.0014433756729740647,1.001326700500523,0.8653037175461137
0.05,0.3839724354387525,0.0014453886373643606,0.0014433756729740647,1.0013946226391277,0.8653037176279905
0.05,0.4014257279586958,0.0014454778332892702,0.0014433756729740647,1.0014564193886364,0.8653037177024886
0.05,0.4188790204786391,0.001445557212447688,0.0014433756729740647,1.001511414882813,0.8653037177687912
0.05,0.4363323129985824,0.001445625906827704,0.0014433756729740647,1.0015590077453658,0.8653037178261723
0.05,0.4537856055185257,0.001445683165370184,0.0014433756729740647,1.001598677627263,0.8653037178740028
0.05,0.47123889803846897,0.0014457283621292008,0.0014433756729740647,1.001629990860445,0.8653037179117591
0.05,0.4886921905584123,0.0014457610030704819,0.0014433756729740647,1.001652605167927,0.865303717939027
0.05,0.5061454830783556,0.001445780731432219,0.0014433756729740647,1.0016662733778787,0.8653037179555084
0.05,0.5235987755982988,0.001445787331597077,0.0014433756729740647,1.0016708461062276,0.8653037179610221
0.05,0.5410520681182421,0.00144578073143244,0.0014433756729740647,1.0016662733780317,0.8653037179555085
0.05,0.5585053606381855,0.001445761003070649,0.0014433756729740647,1.001652605168043,0.865303717939027
0.05,0.5759586531581288,0.0014457283621295072,0.0014433756729740647,1.0016299908606572,0.8653037179117591
0.05,0.5934119456780721,0.0014456831653701342,0.0014433756729740647,1.0015986776272285,0.8653037178740028
